Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2016-04-02 09:01:00,2016-04-02 05:01:00,2016-04-02 09:04:00,2016-04-02 05:04:00,4.1,0,80
light_activity,2016-04-02 09:04:00,2016-04-02 05:04:00,2016-04-02 09:05:00,2016-04-02 05:05:00,1.2,33,85
inactive,2016-04-02 09:05:00,2016-04-02 05:05:00,2016-04-02 09:14:00,2016-04-02 05:14:00,9.7,0,69
light_activity,2016-04-02 09:14:00,2016-04-02 05:14:00,2016-04-02 09:30:00,2016-04-02 05:30:00,32.6,457,93
inactive,2016-04-02 09:30:00,2016-04-02 05:30:00,2016-04-02 09:37:00,2016-04-02 05:37:00,8.8,0,80
light_activity,2016-04-02 09:37:00,2016-04-02 05:37:00,2016-04-02 09:38:00,2016-04-02 05:38:00,3.8,0,108
inactive,2016-04-02 09:38:00,2016-04-02 05:38:00,2016-04-02 09:59:00,2016-04-02 05:59:00,29,0,83
light_activity,2016-04-02 09:59:00,2016-04-02 05:59:00,2016-04-02 10:00:00,2016-04-02 06:00:00,4.3,0,109
inactive,2016-04-02 10:00:00,2016-04-02 06:00:00,2016-04-02 10:07:00,2016-04-02 06:07:00,10.2,0,85
light_activity,2016-04-02 10:07:00,2016-04-02 06:07:00,2016-04-02 10:10:00,2016-04-02 06:10:00,17.2,0,117
inactive,2016-04-02 10:10:00,2016-04-02 06:10:00,2016-04-02 10:15:00,2016-04-02 06:15:00,9.3,0,95
light_activity,2016-04-02 10:15:00,2016-04-02 06:15:00,2016-04-02 10:36:00,2016-04-02 06:36:00,89.4,1458,108
off_wrist,2016-04-02 10:36:00,2016-04-02 06:36:00,2016-04-02 10:37:00,2016-04-02 06:37:00,0.9,0,
light_activity,2016-04-02 10:37:00,2016-04-02 06:37:00,2016-04-02 10:38:00,2016-04-02 06:38:00,2.4,36,114
off_wrist,2016-04-02 10:38:00,2016-04-02 06:38:00,2016-04-02 10:40:00,2016-04-02 06:40:00,2.2,0,
light_activity,2016-04-02 10:40:00,2016-04-02 06:40:00,2016-04-02 10:41:00,2016-04-02 06:41:00,1.7,27,121
inactive,2016-04-02 10:41:00,2016-04-02 06:41:00,2016-04-02 10:44:00,2016-04-02 06:44:00,3.1,0,65
light_activity,2016-04-02 10:44:00,2016-04-02 06:44:00,2016-04-02 10:49:00,2016-04-02 06:49:00,12.5,116,99
inactive,2016-04-02 10:49:00,2016-04-02 06:49:00,2016-04-02 10:52:00,2016-04-02 06:52:00,4.1,0,88
light_activity,2016-04-02 10:52:00,2016-04-02 06:52:00,2016-04-02 11:03:00,2016-04-02 07:03:00,32.9,190,99
inactive,2016-04-02 11:03:00,2016-04-02 07:03:00,2016-04-02 11:07:00,2016-04-02 07:07:00,5,0,82
light_activity,2016-04-02 11:07:00,2016-04-02 07:07:00,2016-04-02 11:08:00,2016-04-02 07:08:00,2.9,0,101
inactive,2016-04-02 11:08:00,2016-04-02 07:08:00,2016-04-02 11:34:00,2016-04-02 07:34:00,32.2,0,78
light_activity,2016-04-02 11:34:00,2016-04-02 07:34:00,2016-04-02 11:39:00,2016-04-02 07:39:00,19.9,15,99
inactive,2016-04-02 11:39:00,2016-04-02 07:39:00,2016-04-02 11:42:00,2016-04-02 07:42:00,5.6,0,95
light_activity,2016-04-02 11:42:00,2016-04-02 07:42:00,2016-04-02 11:52:00,2016-04-02 07:52:00,34,226,100
inactive,2016-04-02 11:52:00,2016-04-02 07:52:00,2016-04-02 12:12:00,2016-04-02 08:12:00,23.1,0,61
off_wrist,2016-04-02 12:12:00,2016-04-02 08:12:00,2016-04-02 14:11:00,2016-04-02 10:11:00,127.7,0,
inactive,2016-04-02 14:11:00,2016-04-02 10:11:00,2016-04-02 14:33:00,2016-04-02 10:33:00,23.7,0,69
off_wrist,2016-04-02 14:33:00,2016-04-02 10:33:00,2016-04-02 14:37:00,2016-04-02 10:37:00,4.3,0,
light_activity,2016-04-02 14:37:00,2016-04-02 10:37:00,2016-04-02 14:39:00,2016-04-02 10:39:00,2,0,
off_wrist,2016-04-02 14:39:00,2016-04-02 10:39:00,2016-04-02 14:48:00,2016-04-02 10:48:00,9.6,0,
light_activity,2016-04-02 14:48:00,2016-04-02 10:48:00,2016-04-02 14:50:00,2016-04-02 10:50:00,2.1,44,79
inactive,2016-04-02 14:50:00,2016-04-02 10:50:00,2016-04-02 15:05:00,2016-04-02 11:05:00,20.8,0,85
light_activity,2016-04-02 15:05:00,2016-04-02 11:05:00,2016-04-02 15:07:00,2016-04-02 11:07:00,2.8,76,80
inactive,2016-04-02 15:07:00,2016-04-02 11:07:00,2016-04-02 15:12:00,2016-04-02 11:12:00,6.4,0,78
light_activity,2016-04-02 15:12:00,2016-04-02 11:12:00,2016-04-02 15:32:00,2016-04-02 11:32:00,59.2,418,97
inactive,2016-04-02 15:32:00,2016-04-02 11:32:00,2016-04-02 15:38:00,2016-04-02 11:38:00,8.8,0,88
light_activity,2016-04-02 15:38:00,2016-04-02 11:38:00,2016-04-02 15:48:00,2016-04-02 11:48:00,35.2,223,105
inactive,2016-04-02 15:48:00,2016-04-02 11:48:00,2016-04-02 16:22:00,2016-04-02 12:22:00,42,0,75
light_activity,2016-04-02 16:22:00,2016-04-02 12:22:00,2016-04-02 16:42:00,2016-04-02 12:42:00,71.2,539,100
inactive,2016-04-02 16:42:00,2016-04-02 12:42:00,2016-04-02 16:46:00,2016-04-02 12:46:00,5.5,0,87
light_activity,2016-04-02 16:46:00,2016-04-02 12:46:00,2016-04-02 16:56:00,2016-04-02 12:56:00,39.8,236,106
inactive,2016-04-02 16:56:00,2016-04-02 12:56:00,2016-04-02 17:05:00,2016-04-02 13:05:00,11.6,0,83
light_activity,2016-04-02 17:05:00,2016-04-02 13:05:00,2016-04-02 17:07:00,2016-04-02 13:07:00,3,104,83
inactive,2016-04-02 17:07:00,2016-04-02 13:07:00,2016-04-02 17:10:00,2016-04-02 13:10:00,3.5,0,79
light_activity,2016-04-02 17:10:00,2016-04-02 13:10:00,2016-04-02 17:14:00,2016-04-02 13:14:00,4.9,15,82
inactive,2016-04-02 17:14:00,2016-04-02 13:14:00,2016-04-02 17:18:00,2016-04-02 13:18:00,4.7,0,73
light_activity,2016-04-02 17:18:00,2016-04-02 13:18:00,2016-04-02 17:22:00,2016-04-02 13:22:00,4.6,53,76
inactive,2016-04-02 17:22:00,2016-04-02 13:22:00,2016-04-02 17:30:00,2016-04-02 13:30:00,9.9,0,82
light_activity,2016-04-02 17:30:00,2016-04-02 13:30:00,2016-04-02 17:31:00,2016-04-02 13:31:00,3.5,0,107
inactive,2016-04-02 17:31:00,2016-04-02 13:31:00,2016-04-02 17:36:00,2016-04-02 13:36:00,6.2,0,82
light_activity,2016-04-02 17:36:00,2016-04-02 13:36:00,2016-04-02 17:37:00,2016-04-02 13:37:00,1.1,14,80
inactive,2016-04-02 17:37:00,2016-04-02 13:37:00,2016-04-02 17:42:00,2016-04-02 13:42:00,5.4,0,71
light_activity,2016-04-02 17:42:00,2016-04-02 13:42:00,2016-04-02 17:43:00,2016-04-02 13:43:00,1.3,22,80
inactive,2016-04-02 17:43:00,2016-04-02 13:43:00,2016-04-02 17:47:00,2016-04-02 13:47:00,4.7,0,78
light_activity,2016-04-02 17:47:00,2016-04-02 13:47:00,2016-04-02 17:52:00,2016-04-02 13:52:00,5.7,45,76
inactive,2016-04-02 17:52:00,2016-04-02 13:52:00,2016-04-02 17:57:00,2016-04-02 13:57:00,5.9,0,79
light_activity,2016-04-02 17:57:00,2016-04-02 13:57:00,2016-04-02 17:59:00,2016-04-02 13:59:00,2.1,22,72
inactive,2016-04-02 17:59:00,2016-04-02 13:59:00,2016-04-02 18:05:00,2016-04-02 14:05:00,7.4,0,80
light_activity,2016-04-02 18:05:00,2016-04-02 14:05:00,2016-04-02 18:07:00,2016-04-02 14:07:00,7.6,6,103
inactive,2016-04-02 18:07:00,2016-04-02 14:07:00,2016-04-02 18:14:00,2016-04-02 14:14:00,9.2,0,84
light_activity,2016-04-02 18:14:00,2016-04-02 14:14:00,2016-04-02 18:20:00,2016-04-02 14:20:00,8.7,96,85
inactive,2016-04-02 18:20:00,2016-04-02 14:20:00,2016-04-02 18:23:00,2016-04-02 14:23:00,3.2,0,76
light_activity,2016-04-02 18:23:00,2016-04-02 14:23:00,2016-04-02 18:30:00,2016-04-02 14:30:00,11.7,226,91
inactive,2016-04-02 18:30:00,2016-04-02 14:30:00,2016-04-02 18:35:00,2016-04-02 14:35:00,6.8,0,81
light_activity,2016-04-02 18:35:00,2016-04-02 14:35:00,2016-04-02 18:48:00,2016-04-02 14:48:00,39.2,275,98
inactive,2016-04-02 18:48:00,2016-04-02 14:48:00,2016-04-02 18:51:00,2016-04-02 14:51:00,3.8,0,81
light_activity,2016-04-02 18:51:00,2016-04-02 14:51:00,2016-04-02 19:24:00,2016-04-02 15:24:00,63.6,1159,89
inactive,2016-04-02 19:24:00,2016-04-02 15:24:00,2016-04-02 19:30:00,2016-04-02 15:30:00,10.1,0,90
light_activity,2016-04-02 19:30:00,2016-04-02 15:30:00,2016-04-02 19:45:00,2016-04-02 15:45:00,34.6,139,94
inactive,2016-04-02 19:45:00,2016-04-02 15:45:00,2016-04-02 19:53:00,2016-04-02 15:53:00,11.1,0,84
light_activity,2016-04-02 19:53:00,2016-04-02 15:53:00,2016-04-02 19:54:00,2016-04-02 15:54:00,4.3,32,106
inactive,2016-04-02 19:54:00,2016-04-02 15:54:00,2016-04-02 19:58:00,2016-04-02 15:58:00,6.8,0,88
light_activity,2016-04-02 19:58:00,2016-04-02 15:58:00,2016-04-02 20:04:00,2016-04-02 16:04:00,15.9,94,95
inactive,2016-04-02 20:04:00,2016-04-02 16:04:00,2016-04-02 20:10:00,2016-04-02 16:10:00,9.5,0,81
light_activity,2016-04-02 20:10:00,2016-04-02 16:10:00,2016-04-02 20:12:00,2016-04-02 16:12:00,2.3,72,74
inactive,2016-04-02 20:12:00,2016-04-02 16:12:00,2016-04-02 20:15:00,2016-04-02 16:15:00,4.8,0,85
light_activity,2016-04-02 20:15:00,2016-04-02 16:15:00,2016-04-02 20:16:00,2016-04-02 16:16:00,1.1,9,78
inactive,2016-04-02 20:16:00,2016-04-02 16:16:00,2016-04-02 20:29:00,2016-04-02 16:29:00,14.2,0,72
light_activity,2016-04-02 20:29:00,2016-04-02 16:29:00,2016-04-02 20:30:00,2016-04-02 16:30:00,1.2,29,79
inactive,2016-04-02 20:30:00,2016-04-02 16:30:00,2016-04-02 20:41:00,2016-04-02 16:41:00,11.8,0,74
light_activity,2016-04-02 20:41:00,2016-04-02 16:41:00,2016-04-02 20:50:00,2016-04-02 16:50:00,22.2,146,95
inactive,2016-04-02 20:50:00,2016-04-02 16:50:00,2016-04-02 21:01:00,2016-04-02 17:01:00,13.5,0,79
light_activity,2016-04-02 21:01:00,2016-04-02 17:01:00,2016-04-02 21:18:00,2016-04-02 17:18:00,44.8,471,94
inactive,2016-04-02 21:18:00,2016-04-02 17:18:00,2016-04-02 22:25:00,2016-04-02 18:25:00,72.9,0,69
light_activity,2016-04-02 22:25:00,2016-04-02 18:25:00,2016-04-02 22:31:00,2016-04-02 18:31:00,11.4,358,89
moderate_activity,2016-04-02 22:31:00,2016-04-02 18:31:00,2016-04-02 22:46:00,2016-04-02 18:46:00,120.2,1266,128
